1.000 elementos
 - Desordenado
 - Ordenado
 - Ordenado decrescente
 - Repetidos
10.000 elementos
 - Desordenado
 - Ordenado
 - Ordenado decrescente
 - Repetidos
100.000 elementos
 - Desordenado
 - Ordenado
 - Ordenado decrescente
 - Repetidos
Caso 10.000 elementos
 - Desordenado
NativoParallel;HeapSort;QuickSort;CountingSort;InsertionSort;Nativo;MergeSort;
31997;481769;51317;514974;12679;32601;152741;
178098;473921;51317;513163;14489;33809;152741;
35620;445546;51316;505315;10263;207076;155156;

 - Ordenado decrescente
NativoParallel;HeapSort;QuickSort;CountingSort;InsertionSort;Nativo;MergeSort;
366459;379740;437698;507730;929730;698506;1221328;
464865;434075;322990;502296;935767;447961;833135;
367063;354988;275297;694883;920674;4060628;531274;
481166;353781;268053;475129;1141033;586213;512559;
474525;348951;265034;435283;665301;2234975;501692;
823475;342310;248130;437698;511352;468488;502296;
541538;343517;235451;438906;516785;449169;498070;
398456;342310;228811;438906;512559;545764;497466;
612777;343517;225188;439509;508937;424416;496862;
530067;345329;223981;440113;504107;428642;585609;
389400;337480;217944;440112;505315;415964;541537;
481166;337481;213718;435283;502296;553613;501089;
421397;706958;212510;434679;505918;647792;522219;
484184;887470;208888;445546;504710;420190;481166;
632699;518596;208888;508937;743784;650208;458828;
548179;611570;204057;464261;963538;431661;455205;
505918;560253;201039;434679;975010;534897;529463;
475128;543953;199228;452791;964746;517389;485995;
378533;553009;202851;559650;967765;530671;491428;
476336;536708;201643;691865;961124;418379;489617;
478148;537916;198021;476940;990706;417171;488410;
469695;533690;196209;432868;950257;538520;485392;
502296;541538;193795;433472;958709;398456;481166;
485996;532482;191983;438301;965954;381552;476940;
374911;530067;191984;435283;4225444;478751;476336;
471506;524634;188965;438301;959916;464865;477543;
367666;560857;186550;4189825;970179;403889;472714;
489618;772160;191983;488410;1252721;2141398;498070;
363440;554216;195002;436491;974406;447358;470299;
351970;536105;190776;431057;982858;425623;469695;
473921;527048;189568;431660;968369;410531;472714;
368270;522823;188361;435887;958709;2858015;474525;
364043;537312;186550;435886;969576;496862;472714;
357403;536708;185342;434679;955690;439509;420793;
608551;546367;187758;442528;968369;351366;428038;
528860;526445;185343;434680;953275;520408;415361;
521011;524030;182324;442527;984669;499278;397852;
1140429;530067;184135;435283;1272644;469695;411737;
8773879;536708;188965;434076;804156;377325;428642;
412342;852455;186550;431056;848832;374910;432265;
517389;391815;184739;432265;912223;370081;430453;
455810;366459;182324;438302;936372;367062;424416;
453998;799327;181720;441320;929127;470299;420190;
429850;533689;182324;435283;856680;467884;430453;
462451;537916;182928;444339;806571;366459;435283;
355591;532482;179909;911015;803553;470299;436491;
450979;526445;179305;699109;797516;488410;437698;
353177;528256;179305;435887;844606;462451;440716;
483581;524030;184739;448565;850643;462450;409323;
443735;530670;183531;437697;898337;460036;402078;

 - Repetidos
NativoParallel;HeapSort;QuickSort;CountingSort;InsertionSort;Nativo;MergeSort;
140063;208284;138252;27167;12679;364647;301860;
132214;104443;134026;25356;10263;155760;327217;
137045;111084;127989;25960;10867;153345;346535;
175683;50109;132819;25357;3192478;127385;292805;
169646;104444;134026;25356;12678;137045;376722;
135837;106255;134630;25356;13282;137649;291598;
138856;48902;134630;24752;16300;140063;297030;
138252;102633;134026;24753;13885;140667;297031;
130403;108066;140063;25960;13885;125574;290390;
129196;50109;135838;24753;13885;136441;283145;
128592;108067;139460;25356;14489;129800;294616;
172664;105048;136441;25356;12679;127385;294616;
169645;47694;134027;25960;13885;125574;295823;
135234;106255;137648;24149;13282;134630;295220;
133422;107462;134026;25356;13282;128593;292201;
131612;49505;135233;25356;13886;129800;291598;
174476;103236;133422;24753;13885;133423;293408;
168438;105651;133422;24753;12074;131612;284957;
129197;50713;134026;24753;18715;125574;280730;
130403;107463;133422;25356;13282;134630;281938;
134026;108670;134630;25357;13282;132818;283145;
126781;46486;134630;24752;13885;130404;282542;
135837;105651;133423;24753;13281;130404;268053;
144893;105048;134026;25356;13282;131611;272882;
134629;51920;134026;24149;12678;129196;278919;
128593;105651;134026;25356;14489;127989;283749;
133422;108066;134026;24753;13282;135838;243903;
130403;47090;134026;26564;13886;132215;242092;
129197;105047;134630;27168;19319;121348;252355;
129800;105047;134026;24752;13886;182324;250545;
117725;48298;134026;25357;14489;129196;246318;
115311;109273;133422;25960;13886;134629;242092;
114707;111085;134026;25356;13885;189569;256582;
97803;46486;134027;24752;13886;128593;138252;
57957;104444;134630;24753;13886;124367;133423;
57353;105048;133423;25357;13886;126178;132215;
60372;47090;134026;24752;13282;122556;132215;
57354;108670;133422;24753;14490;118933;133423;
65201;109273;133423;24752;14490;110481;134027;
63391;46486;134630;25357;14489;131611;133423;
66409;105651;134026;24753;14489;126782;133422;
67617;105047;133422;24752;15093;125574;153949;
71843;48298;134026;24752;23545;129196;211906;
74257;112293;133422;25357;13886;132215;196813;
76673;103236;134630;24149;14489;133422;134026;
82106;48902;134026;25960;14489;128593;138252;
82709;95388;133422;24149;13281;127989;326613;
84521;92973;134026;25356;12074;128593;335066;
89955;42864;134026;25356;13886;151534;272882;
90558;92370;133422;24149;14490;168438;266241;

